Ages,Gender,Height,Weight,Activity Level,Dietary Preference,Daily Calorie Target,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion
42,Male,190,95,Very Active,Omnivore,3200,Scrambled eggs with whole wheat toast and fruit,Chicken breast with brown rice and vegetables,Steak with sweet potato and asparagus,Protein shake
62,Female,155,58,Sedentary,Vegan,1400,Oatmeal with berries and plant-based milk,Lentil soup with whole wheat bread,Vegetable stir-fry with tofu and brown rice,Apple slices with almond butter
28,Male,175,70,Moderately Active,Omnivore,2500,Greek yogurt with fruit and granola,Tuna salad sandwich on whole wheat bread,Chicken breast with brown rice and vegetables,Trail mix
31,Female,170,75,Lightly Active,Vegetarian,1700,Scrambled eggs with whole wheat toast and avocado,Vegetarian chili with whole wheat bread,Black bean burgers with salad,Apple slices with almond butter
58,Male,185,90,Moderately Active,Omnivore,2400,Oatmeal with fruit and nuts,Chicken salad sandwich on whole wheat bread,Salmon with roasted vegetables,Fruit and cheese
22,Female,168,55,Very Active,Vegan,2200,Overnight oats with fruit and chia seeds,Tofu scramble with spinach and avocado,Lentil and vegetable curry with brown rice,Protein shake
45,Male,182,80,Lightly Active,Omnivore,2000,Greek yogurt with fruit and granola,Chicken breast salad with vegetables,Turkey chili with brown rice,Fruit and yogurt
25,Male,180,80,Moderately Active,Omnivore,2200,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit
32,Female,165,65,Lightly Active,Vegetarian,2000,Tofu scramble with whole-wheat toast,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Trail mix with nuts and dried fruit
55,Male,175,90,Sedentary,Vegan,2000,Tofu and vegetable breakfast burrito,Black bean burger on a whole-wheat bun,Lentil pasta with marinara sauce,Fruit salad with nuts
68,Female,160,75,Lightly Active,Omnivore,1800,Greek yogurt with granola,Chicken breast salad with mixed greens,Turkey meatballs with steamed vegetables,Popcorn
28,Male,185,95,Very Active,Omnivore,3000,Scrambled eggs with avocado and whole-wheat toast,Chicken breast with brown rice and vegetables,Steak with sweet potato fries,Protein shake with banana
38,Female,170,70,Moderately Active,Vegan,1800,Overnight oats with chia seeds and fruit,Tofu and vegetable stir-fry with brown rice,Lentil soup with whole-wheat bread,Fruit salad with nuts
62,Male,170,85,Sedentary,Omnivore,2200,Pancakes with fruit and syrup,Grilled chicken sandwich with whole-wheat bread,Chicken stir-fry with brown rice,Popcorn
45,Female,168,60,Very Active,Vegetarian,2400,Tofu scramble with whole-wheat toast,Black bean burger on a whole-wheat bun,Chickpea curry with brown rice,Energy bar with nuts and seeds
22,Female,172,55,Moderately Active,Vegan,1800,Overnight oats with chia seeds and fruit,Tofu and vegetable stir-fry with brown rice,Lentil stew with whole-wheat bread,Trail mix with nuts and dried fruit
58,Male,178,98,Sedentary,Omnivore,2000,Scrambled eggs with whole-wheat toast,Tuna salad sandwich with whole-wheat bread,Chicken breast with roasted vegetables,Fruit salad with nuts
25,Male,180,85,Lightly Active,Omnivore,2000,Greek yogurt with berries and granola,Chicken breast salad with mixed greens,Salmon with roasted vegetables,Apple with peanut butter
32,Female,165,60,Moderately Active,Vegetarian,2200,Tofu scramble with whole-wheat toast,Lentil soup with whole-wheat bread,Tofu stir-fry with brown rice,Trail mix with nuts and dried fruit
48,Male,175,95,Very Active,Omnivore,2800,Oatmeal with fruit and nuts,Chicken and vegetable stir-fry,Beef stew with brown rice,Protein bar
55,Female,160,70,Sedentary,Vegan,1600,Tofu scramble with spinach and avocado toast,Lentil soup with whole-wheat bread,Vegan chili with brown rice,Fruit salad with nuts
28,Male,185,90,Moderately Active,Vegan,2600,Tofu and veggie breakfast burrito,Lentil and quinoa salad,Vegan pasta with marinara sauce,Smoothie with protein powder and fruit
62,Female,155,65,Lightly Active,Omnivore,1800,Eggs with whole-wheat toast,Chicken salad sandwich with mixed greens,Fish with roasted vegetables,Greek yogurt with fruit
35,Female,170,75,Very Active,Vegetarian,2400,Quinoa porridge with fruit and nuts,Chickpea and vegetable curry,Black bean burgers on whole-wheat buns,Trail mix with nuts and seeds
22,Male,190,80,Moderately Active,Vegan,2100,Tofu scramble with vegetables and whole-wheat toast,Black bean burgers with sweet potato fries,Vegan stir-fry with brown rice,Fruit salad with nuts
58,Male,178,100,Sedentary,Omnivore,2400,Scrambled eggs with bacon and whole-wheat toast,Chicken Caesar salad,Grilled salmon with roasted vegetables,Mixed nuts
40,Female,168,72,Lightly Active,Vegetarian,2000,Greek yogurt with fruit and granola,Chickpea salad sandwich with whole-wheat bread,Lentil stew with brown rice,Smoothie with protein powder and fruit
25,Male,180,80,Moderately Active,Omnivore,2800,Oatmeal with protein powder and berries,Chicken breast with brown rice and vegetables,Salmon with sweet potato and broccoli,Greek yogurt with nuts and seeds
32,Female,165,60,Lightly Active,Vegetarian,1800,Tofu scramble with vegetables and whole-wheat toast,Vegetarian chili with a side salad,Lentil soup with whole-wheat bread,Apple with peanut butter
55,Male,175,90,Sedentary,Omnivore,2200,Eggs with whole-wheat toast and avocado,Grilled chicken salad with mixed greens,Tuna with quinoa and roasted vegetables,Trail mix with almonds and dried fruit
28,Female,170,65,Very Active,Vegan,2400,Tofu scramble with vegetables and whole-wheat toast,Black bean burger with sweet potato fries,Lentil stew with brown rice,Banana with almond butter
62,Female,160,70,Lightly Active,Omnivore,1600,Greek yogurt with berries and granola,Grilled salmon with roasted vegetables,Chicken breast with steamed vegetables,Fruit salad with nuts and seeds
21,Male,190,95,Moderately Active,Omnivore,3000,Pancakes with fruit and syrup,Chicken stir-fry with brown rice,Steak with baked potato and green beans,Protein shake with fruit
35,Female,168,55,Sedentary,Vegetarian,1500,Greek yogurt with berries and granola,Vegetarian chili with a side salad,Lentil soup with whole-wheat bread,Apple with peanut butter
68,Female,155,65,Lightly Active,Vegetarian,1700,Scrambled eggs with vegetables and whole-wheat toast,Black bean burger with sweet potato fries,Vegetarian lasagna with salad,Fruit salad with nuts and seeds
25,Female,165,60,Lightly Active,Omnivore,1800,Greek yogurt with berries and granola,Tuna salad sandwich on whole-wheat bread with a side of mixed greens,Salmon with roasted vegetables and quinoa,Apple slices with almond butter
32,Male,180,85,Moderately Active,Omnivore,2800,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with quinoa and steamed vegetables,Steak with baked potato and broccoli,Protein shake with banana
48,Female,170,75,Sedentary,Vegetarian,2000,Oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,Vegetarian chili with brown rice,Trail mix with dried fruit and nuts
55,Male,175,90,Moderately Active,Vegan,2500,Tofu scramble with veggies and whole-wheat toast,Lentil and vegetable curry with brown rice,Black bean burgers with sweet potato fries,Banana with almond butter
62,Female,160,65,Lightly Active,Vegan,1600,Overnight oats with fruit and nuts,Vegetable stir-fry with brown rice,Lentil and vegetable stew,Apple slices with peanut butter
28,Male,190,100,Very Active,Omnivore,3200,Oatmeal with protein powder and fruit,Chicken breast with brown rice and steamed vegetables,Beef stir-fry with brown rice,Protein bar
35,Female,168,55,Sedentary,Vegetarian,1500,Greek yogurt with fruit and granola,Black bean burger with whole-wheat bun and salad,Lentil soup with whole-wheat bread,Trail mix with dried fruit and nuts
42,Male,185,95,Moderately Active,Vegan,2400,Tofu scramble with veggies and whole-wheat toast,Lentil and vegetable curry with brown rice,Black bean burgers with sweet potato fries,Banana with almond butter
21,Female,172,58,Lightly Active,Omnivore,1700,Eggs with whole-wheat toast and avocado,Chicken salad sandwich on whole-wheat bread with a side of mixed greens,Salmon with roasted vegetables and quinoa,Apple slices with almond butter
58,Male,178,80,Sedentary,Vegetarian,2100,Oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,Vegetarian chili with brown rice,Trail mix with dried fruit and nuts
25,Male,180,80,Moderately Active,Omnivore,2000,Greek yogurt with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Fruit and nuts
38,Female,165,65,Sedentary,Vegetarian,1800,Oatmeal with fruit and nuts,Lentil soup with whole grain bread,Tofu stir-fry with brown rice,Vegetable sticks with hummus
62,Male,175,90,Lightly Active,Omnivore,2500,Scrambled eggs with whole wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Beef stew with whole grain bread,Protein shake
45,Female,170,75,Very Active,Vegan,2200,Tofu scramble with whole wheat toast and avocado,Lentil salad with quinoa and mixed greens,Chickpea curry with brown rice,Fruit and nut mix
58,Male,178,85,Sedentary,Omnivore,2200,Yogurt with fruit and granola,Turkey sandwich on whole grain bread,Chicken breast with roasted vegetables,Trail mix
22,Female,160,55,Moderately Active,Vegetarian,2000,Oatmeal with protein powder and fruit,Bean burrito with brown rice,Chickpea and vegetable pasta,Greek yogurt with fruit and nuts
68,Male,170,70,Lightly Active,Omnivore,1800,Scrambled eggs with whole wheat toast and fruit,Tuna salad with whole grain bread,Salmon with steamed vegetables,Mixed nuts
30,Female,168,60,Very Active,Vegan,2400,Tofu scramble with whole wheat toast and avocado,Lentil salad with quinoa and mixed greens,Chickpea curry with brown rice,Fruit and nut mix
55,Female,165,78,Sedentary,Vegetarian,1900,Yogurt with fruit and granola,Black bean soup with whole wheat bread,Vegetable stir-fry with brown rice,Trail mix
28,Male,185,100,Moderately Active,Omnivore,2800,Eggs with whole wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Steak with sweet potato and green beans,Protein shake
25,Female,165,60,Lightly Active,Omnivore,1800,Greek yogurt with berries and almonds,Grilled chicken salad with mixed greens,Lentil soup with whole-wheat bread,Apple with peanut butter
32,Male,180,85,Moderately Active,Omnivore,2800,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Salmon with roasted sweet potatoes,Protein shake
55,Female,160,70,Sedentary,Vegetarian,1600,Oatmeal with fruit and nuts,Lentil and vegetable curry with brown rice,Black bean burgers on whole-wheat buns,Hummus with vegetables
40,Male,190,95,Very Active,Vegan,3200,Tofu scramble with vegetables and whole-wheat toast,Lentil stew with brown rice and quinoa,Chickpea and vegetable curry with brown rice,Trail mix with nuts and dried fruits
62,Male,175,80,Moderately Active,Omnivore,2400,Eggs with whole-wheat toast and bacon,Chicken breast with roasted vegetables,Steak with mashed potatoes and green beans,Greek yogurt with berries
28,Female,170,55,Sedentary,Vegan,1500,Overnight oats with fruit and chia seeds,Lentil and vegetable soup with whole-wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter
38,Female,168,65,Lightly Active,Vegetarian,2000,Scrambled tofu with whole-wheat toast and avocado,Black bean burgers on whole-wheat buns with salad,Lentil and vegetable soup with whole-wheat bread,Trail mix with nuts and dried fruits
58,Male,178,85,Moderately Active,Vegan,2800,Tofu scramble with vegetables and whole-wheat toast,Lentil and vegetable curry with brown rice and quinoa,Chickpea and vegetable curry with brown rice,Trail mix with nuts and dried fruits
22,Male,185,90,Very Active,Omnivore,3000,Eggs with whole-wheat toast and bacon,Chicken breast with brown rice and steamed vegetables,Steak with mashed potatoes and green beans,Protein shake
45,Female,172,75,Sedentary,Vegan,1700,Overnight oats with fruit and chia seeds,Lentil and vegetable soup with whole-wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter
28,Female,165,55,Lightly Active,Omnivore,1800,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Lentil soup with whole wheat bread,Greek yogurt with fruit and granola
55,Male,180,90,Moderately Active,Vegetarian,2500,Tofu scramble with vegetables,Lentil and vegetable curry with brown rice,Quinoa salad with roasted vegetables,Trail mix
32,Female,170,60,Very Active,Vegan,2400,Tofu and vegetable stir-fry with brown rice,Black bean burgers with sweet potato fries,Lentil and vegetable stew,Fruit and nut mix
22,Male,190,85,Sedentary,Omnivore,2000,Scrambled eggs with whole wheat toast,Chicken breast with brown rice and steamed vegetables,Salmon with roasted vegetables,Low-fat Greek yogurt with berries
62,Female,160,70,Moderately Active,Vegan,1800,Tofu and vegetable scramble with whole wheat toast,Chickpea salad sandwich on whole wheat bread,Lentil and vegetable stew with brown rice,Fruit and nut mix
25,Male,185,95,Lightly Active,Omnivore,2800,Greek yogurt with fruit and granola,Chicken breast with brown rice and roasted vegetables,Steak with sweet potato and green beans,Protein bar
40,Female,175,75,Very Active,Vegetarian,2000,Tofu scramble with vegetables,Black bean burger with whole wheat bun,Lentil and vegetable stew with brown rice,Fruit and nut mix
38,Male,178,80,Sedentary,Vegan,2200,Tofu and vegetable stir-fry with brown rice,Black bean burgers with sweet potato fries,Lentil and vegetable curry with brown rice,Fruit and nut mix
20,Female,168,50,Lightly Active,Omnivore,2200,Oatmeal with berries and nuts,Chicken breast with brown rice and steamed vegetables,Salmon with roasted vegetables,Protein bar
58,Male,175,85,Moderately Active,Vegetarian,2300,Tofu and vegetable scramble with whole wheat toast,Lentil and vegetable curry with brown rice,Quinoa salad with roasted vegetables,Trail mix
25,Male,175,75,Moderately Active,Omnivore,2200,Greek yogurt with berries and granola,Quinoa salad with chicken and vegetables,Grilled salmon with roasted vegetables,Fruit and nuts
38,Female,165,60,Lightly Active,Vegetarian,1800,Tofu scramble with vegetables and whole-wheat toast,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Trail mix
55,Male,180,90,Sedentary,Omnivore,1800,Oatmeal with fruit and nuts,Chicken breast salad with mixed greens,Tuna salad sandwich on whole-wheat bread,Fruit and yogurt
62,Female,160,70,Sedentary,Vegan,1600,Tofu and vegetable stir-fry with brown rice,Lentil soup with whole-wheat bread,Black bean burgers on whole-wheat buns,Raw vegetables and hummus
28,Female,170,65,Very Active,Omnivore,2500,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and vegetables,Steak with sweet potato and broccoli,Protein shake
32,Male,185,85,Moderately Active,Vegan,2000,Tofu scramble with vegetables and whole-wheat toast,Lentil soup with whole-wheat bread,Chickpea curry with brown rice,Fruit and nuts
68,Male,170,80,Lightly Active,Omnivore,1600,Oatmeal with fruit and nuts,Tuna salad sandwich on whole-wheat bread,Chicken breast with roasted vegetables and sweet potato,Fruit and yogurt
45,Female,165,65,Very Active,Vegetarian,2300,Tofu and vegetable stir-fry with brown rice,Chickpea salad with mixed greens,Lentil stew with whole-wheat bread,Trail mix
72,Female,155,55,Sedentary,Omnivore,1400,Scrambled eggs with whole-wheat toast,Chicken breast salad with mixed greens,Tuna salad sandwich on whole-wheat bread,Fruit and yogurt
21,Male,190,95,Moderately Active,Omnivore,2400,Greek yogurt with berries and granola,Quinoa salad with chicken and vegetables,Grilled chicken with roasted vegetables,Fruit and nuts
25,Male,180,80,Moderately Active,Omnivore,2200,Greek Yogurt with berries and granola,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Apple with almond butter
30,Female,165,65,Lightly Active,Vegetarian,2000,Tofu scramble with vegetables and avocado,Lentil soup with whole-wheat bread,Quinoa bowl with roasted chickpeas and vegetables,Trail mix with nuts and dried fruit
55,Male,175,90,Sedentary,Omnivore,1800,Oatmeal with fruit and nuts,Tuna salad sandwich on whole-wheat bread,Chicken stir-fry with brown rice,Celery sticks with peanut butter
22,Female,170,55,Very Active,Vegan,2500,Tofu omelet with spinach,Vegan lentil stew with brown rice,Black bean burgers on whole-wheat buns,Banana with almond butter
60,Female,155,60,Moderately Active,Vegetarian,1600,Scrambled eggs with whole-wheat toast,Vegetarian chili with whole-wheat bread,Lentil pasta with tomato sauce,Fruit salad
28,Male,190,100,Very Active,Omnivore,2800,Greek yogurt with protein powder and fruit,Chicken breast with brown rice and vegetables,Turkey chili with sweet potato,Protein bar
35,Female,160,50,Lightly Active,Vegan,1800,Tofu scramble with vegetables and avocado,Vegan lentil stew with brown rice,Black bean burgers on whole-wheat buns,Trail mix with nuts and dried fruit
48,Male,185,95,Moderately Active,Omnivore,2200,Oatmeal with fruit and nuts,Tuna salad sandwich on whole-wheat bread,Grilled salmon with roasted vegetables,Greek yogurt with berries
65,Male,170,75,Sedentary,Omnivore,1500,Scrambled eggs with whole-wheat toast,Chicken salad sandwich on whole-wheat bread,Chicken stir-fry with brown rice,Apple with peanut butter
19,Female,168,58,Very Active,Vegan,2300,Tofu omelet with spinach,Vegan lentil stew with brown rice,Black bean burgers on whole-wheat buns,Banana with almond butter
25,Male,180,85,Moderately Active,Omnivore,2200,Greek yogurt with berries and granola,Grilled chicken salad with mixed greens and avocado,Salmon with roasted vegetables and quinoa,Trail mix with almonds and dried cranberries
38,Female,165,68,Lightly Active,Vegetarian,1800,Oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,Vegetarian chili with brown rice,Apple with peanut butter
55,Male,175,95,Sedentary,Vegan,1900,Tofu scramble with vegetables and whole-wheat toast,Vegan lentil stew with brown rice,Chickpea curry with brown rice,Banana with almond butter
22,Female,160,55,Very Active,Omnivore,2500,Scrambled eggs with whole-wheat toast and avocado,Chicken and vegetable stir-fry with brown rice,Chicken breast with sweet potato and broccoli,Protein bar with nuts
62,Female,168,72,Sedentary,Vegan,1700,Tofu breakfast burrito with whole-wheat tortilla,Vegan pasta salad with vegetables,Lentil and vegetable curry with brown rice,Fruit salad with nuts
30,Male,190,100,Moderately Active,Omnivore,3000,Protein pancakes with fruit and syrup,Chicken breast with brown rice and vegetables,Steak with baked potato and green beans,Protein shake with fruit
28,Female,170,65,Lightly Active,Vegetarian,1600,Scrambled tofu with spinach and tomato,Vegetarian chili with brown rice,Quinoa bowl with roasted vegetables and chickpeas,Trail mix with dried fruit and nuts
40,Male,185,90,Very Active,Omnivore,2500,Greek yogurt with berries and granola,Tuna salad sandwich on whole-wheat bread,Chicken breast with brown rice and vegetables,Mixed nuts and seeds
21,Female,168,58,Lightly Active,Vegan,1800,Tofu scramble with vegetables and whole-wheat toast,Vegan lentil stew with brown rice,Black bean burger on whole-wheat bun with avocado,Trail mix with dried fruit and nuts
58,Male,178,88,Sedentary,Omnivore,1800,Oatmeal with fruit and nuts,Chicken breast with brown rice and vegetables,Salmon with roasted vegetables and quinoa,Fruit salad with yogurt
25,Female,165,58,Moderately Active,Omnivore,1800,Greek yogurt with berries and granola,Lentil soup with whole wheat bread,Grilled salmon with roasted vegetables,Apple slices with peanut butter
32,Male,180,85,Lightly Active,Omnivore,2500,Scrambled eggs with whole wheat toast and avocado,Chicken breast salad with mixed greens,Steak with sweet potato fries,Protein shake with banana
55,Female,160,70,Sedentary,Vegetarian,1500,Oatmeal with fruit and nuts,Vegetarian chili with brown rice,Tofu stir-fry with vegetables,Carrot sticks with hummus
40,Male,190,95,Moderately Active,Vegan,2200,Tofu scramble with vegetables and whole wheat toast,Lentil and vegetable curry with brown rice,Chickpea and vegetable pasta bake,Trail mix with dried fruit and nuts
68,Female,155,62,Sedentary,Vegan,1400,Vegan overnight oats with berries,Lentil and vegetable soup with whole wheat bread,Tofu and vegetable stir-fry,Banana with almond butter
28,Male,175,78,Very Active,Omnivore,3000,Protein pancakes with fruit and syrup,Chicken breast and brown rice with vegetables,Beef stir-fry with brown rice,Protein bar
35,Female,170,65,Lightly Active,Vegetarian,1900,Scrambled eggs with spinach and whole wheat toast,Vegetarian chili with brown rice,Lentil and vegetable stew,Fruit salad with yogurt
52,Male,185,100,Very Active,Vegan,2800,Tofu scramble with vegetables and whole wheat toast,Lentil and vegetable curry with brown rice,Vegan chili with brown rice,Trail mix with dried fruit and nuts
22,Female,168,55,Moderately Active,Vegan,1600,Vegan overnight oats with chia seeds and berries,Lentil and vegetable soup with whole wheat bread,Tofu and vegetable stir-fry,Apple slices with peanut butter
47,Male,178,80,Sedentary,Omnivore,2100,Greek yogurt with fruit and granola,Chicken salad sandwich on whole wheat bread,Salmon with roasted vegetables,Mixed nuts and seeds
28,Female,165,60,Lightly Active,Omnivore,1800,Greek yogurt with berries and granola,Lentil soup with whole-wheat bread,Grilled chicken with roasted vegetables,Apple with peanut butter
35,Male,180,80,Moderately Active,Vegetarian,2500,Tofu scramble with whole-wheat toast,Black bean burger on a whole-wheat bun,Lentil and vegetable curry with rice,Trail mix
55,Female,160,75,Sedentary,Vegan,1500,Overnight oats with fruit and nuts,Tofu stir-fry with brown rice,Lentil pasta with tomato sauce,Banana with almond butter
62,Male,175,90,Moderately Active,Omnivore,2200,Scrambled eggs with whole-wheat toast and avocado,Salmon with roasted vegetables,Chicken stir-fry with brown rice,Fruit and yogurt
22,Female,170,55,Very Active,Omnivore,2400,Protein smoothie with fruit and spinach,Chicken breast with brown rice and vegetables,Tuna salad sandwich on whole-wheat bread,Greek yogurt with berries and granola
40,Male,185,100,Lightly Active,Vegetarian,2800,Tofu scramble with vegetables,Lentil and vegetable curry with brown rice,Chickpea and vegetable stew,String cheese with crackers
68,Female,155,65,Sedentary,Omnivore,1800,Oatmeal with fruit and nuts,Tuna salad sandwich on whole-wheat bread,Chicken breast with roasted vegetables,Popcorn
70,Male,170,85,Sedentary,Vegan,1700,Tofu scramble with vegetables,Lentil and vegetable curry with rice,Black bean burgers with avocado,Fruit salad
33,Female,168,70,Very Active,Omnivore,2200,Yogurt parfait with granola and fruit,Chicken salad sandwich on whole-wheat bread,Salmon with roasted vegetables,Apple with peanut butter
25,Male,190,95,Moderately Active,Vegan,2500,Tofu scramble with vegetables,Lentil and vegetable curry with brown rice,Chickpea and vegetable stew,Trail mix
25,Male,180,80,Moderately Active,Omnivore,2200,Greek yogurt with berries and granola,Tuna salad sandwich on whole-wheat bread with a side salad,Grilled chicken breast with quinoa and steamed vegetables,Apple slices with almond butter
55,Female,165,70,Sedentary,Vegetarian,1800,Tofu scramble with vegetables and whole-wheat toast,Lentil soup with a side of whole-wheat bread,Black bean burgers with roasted sweet potatoes and a green salad,Trail mix with nuts and dried fruit
32,Male,190,95,Very Active,Omnivore,3000,Oatmeal with protein powder and fruit,Chicken breast with brown rice and broccoli,Salmon with roasted vegetables and quinoa,Protein shake with milk and banana
68,Female,170,65,Lightly Active,Vegan,1500,Tofu scramble with vegetables and whole-wheat toast,Lentil stew with a side of whole-wheat bread,Vegan chili with brown rice,Fruit smoothie with almond milk
42,Male,185,100,Very Active,Omnivore,2500,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and broccoli,Salmon with roasted vegetables and quinoa,Trail mix with nuts and dried fruit
58,Female,160,55,Sedentary,Vegan,1600,Tofu scramble with vegetables and whole-wheat toast,Lentil soup with a side of whole-wheat bread,Vegan pasta with marinara sauce and a side salad,Fruit and nut mix
35,Male,178,85,Lightly Active,Vegetarian,2000,Greek yogurt with fruit and granola,Vegetarian chili with a side of whole-wheat bread,Lentil soup with a side of whole-wheat bread,Vegetable sticks with hummus
